match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link,player_1_id,player_2_id,p1_set1,p1_set2,p1_set3,p1_set4,p1_set5,p2_set1,p2_set2,p2_set3,p2_set4,p2_set5,best_of,winner_id
15-06-2025,Y. Hanfmann,N. Jarry,01:12:41,2nd Round Qualifying,6 6,3 3,Yannick Hanfmann,Completed,qs006,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs006,h997,j551,6,6,,,,3,3,,,,3,h997
15-06-2025,S. Ofner,J. Engel,01:14:19,2nd Round Qualifying,6 6,4 4,Sebastian Ofner,Completed,qs007,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs007,o513,e0dd,6,6,,,,4,4,,,,3,o513
14-06-2025,B. Bonzi,P. Zahraj,01:19:27,1st Round Qualifying,6 6,3 4,Benjamin Bonzi,Completed,qs008,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs008,bm95,z09f,6,6,,,,3,4,,,,3,bm95
14-06-2025,L. Djere,N. Basilashvili,01:13:07,1st Round Qualifying,7 6,5 3,Laslo Djere,Completed,qs010,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs010,db63,bg23,7,6,,,,5,3,,,,3,db63
14-06-2025,N. Jarry,L. Tien,01:01:30,1st Round Qualifying,6 6,3 4,Nicolas Jarry,Completed,qs012,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs012,j551,t0ha,6,6,,,,3,4,,,,3,j551
14-06-2025,J. Engel,R. Safiullin,02:45:03,1st Round Qualifying,6(4) 7 7,7 6(6) 5,Justin Engel,Completed,qs014,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs014,e0dd,sx50,6(4),7,7,,,7,6(6),5,,,3,e0dd
14-06-2025,Y. Hanfmann,Y. Nishioka,01:08:09,1st Round Qualifying,6 6,4 1,Yannick Hanfmann,Completed,qs013,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs013,h997,n732,6,6,,,,4,1,,,,3,h997
14-06-2025,J. de Jong,M. Schoenhaus,02:06:00,1st Round Qualifying,7 3 6,5 6 2,Jesper de Jong,Completed,qs011,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs011,d0c1,,7,3,6,,,5,6,2,,,3,d0c1
14-06-2025,L. Tu,E. Quinn,02:09:14,1st Round Qualifying,5 6 7,7 3 5,Li Tu,Completed,qs009,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs009,tc01,q02l,5,6,7,,,7,3,5,,,3,tc01
14-06-2025,S. Ofner,B. Hassan,01:26:06,1st Round Qualifying,7 7,6(4) 5,Sebastian Ofner,Completed,qs015,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/qs015,o513,hg94,7,7,,,,6(4),5,,,,3,o513
14-07-2024,C. Alcaraz,N. Djokovic,02:27,Finals,6 6 7,2 2 6(4),Carlos Alcaraz,Completed,ms001,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms001,a0e2,d643,6,6,7,,,2,2,6(4),,,5,a0e2
14-07-2024,N. Djokovic,L. Musetti,02:48,Semi-Finals,6 7 6,4 6(2) 4,Novak Djokovic,Completed,ms003,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms003,d643,m0ej,6,7,6,,,4,6(2),4,,,5,db59
14-07-2024,C. Alcaraz,D. Medvedev,02:55,Semi-Finals,6(1) 6 6 6,7 3 4 4,Carlos Alcaraz,Completed,ms002,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms002,a0e2,mm58,6(1),6,6,6,,7,3,4,4,,5,a0e2
14-07-2024,D. Medvedev,J. Sinner,04:00,Quarter-Finals,6(7) 6 7 2 6,7 4 6(4) 6 3,Daniil Medvedev,Completed,ms004,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms004,mm58,s0ag,6(7),6,7,2,6,7,4,6(4),6,3,5,mm58
14-07-2024,N. Djokovic,A. de Minaur,00:00,Quarter-Finals,,,Novak Djokovic,Completed,,540,,d643,dh58,,,,,,,,,,,5,db59
14-07-2024,C. Alcaraz,T. Paul,03:11,Quarter-Finals,5 6 6 6,7 4 2 2,Carlos Alcaraz,Completed,ms005,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms005,a0e2,pl56,5,6,6,6,,7,4,2,2,,5,a0e2
14-07-2024,L. Musetti,T. Fritz,03:27,Quarter-Finals,3 7 6 3 6,6 6(5) 2 6 1,Lorenzo Musetti,Completed,ms006,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms006,m0ej,fb98,3,7,6,3,6,6,6(5),2,6,1,5,m0ej
14-07-2024,J. Sinner,B. Shelton,02:08,Round of 16,6 6 7,2 4 6(9),Jannik Sinner,Completed,ms008,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms008,s0ag,s0s1,6,6,7,,,2,4,6(9),,,5,s0ag
14-07-2024,N. Djokovic,H. Rune,02:03,Round of 16,6 6 6,3 4 2,Novak Djokovic,Completed,ms015,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms015,d643,r0dg,6,6,6,,,3,4,2,,,5,db59
14-07-2024,C. Alcaraz,U. Humbert,02:58,Round of 16,6 6 1 7,3 4 6 5,Carlos Alcaraz,Completed,ms010,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms010,a0e2,hh26,6,6,1,7,,3,4,6,5,,5,a0e2
14-07-2024,T. Fritz,A. Zverev,03:29,Round of 16,4 6(4) 6 7 6,6 7 4 6(3) 3,Taylor Fritz,Completed,ms013,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms013,fb98,z355,4,6(4),6,7,6,6,7,4,6(3),3,5,fb98
14-07-2024,D. Medvedev,G. Dimitrov,00:40,Round of 16,5,3,Daniil Medvedev,Completed,ms009,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms009,mm58,d875,5,,,,,3,,,,,5,mm58
14-07-2024,A. de Minaur,A. Fils,02:54,Round of 16,6 6 4 6,2 4 6 3,Alex de Minaur,Completed,ms014,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms014,dh58,f0f1,6,6,4,6,,2,4,6,3,,5,dh58
14-07-2024,T. Paul,R. Bautista Agut,02:02,Round of 16,6 7 6,2 6(3) 2,Tommy Paul,Completed,ms011,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms011,pl56,bd06,6,7,6,,,2,6(3),2,,,5,pl56
14-07-2024,L. Musetti,G. Mpetshi Perricard,02:03,Round of 16,4 6 6 6,6 3 3 2,Lorenzo Musetti,Completed,ms012,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms012,m0ej,m0gz,4,6,6,6,,6,3,3,2,,5,m0ej
14-07-2024,J. Sinner,M. Kecmanovic,01:36,Round of 32,6 6 6,1 4 2,Jannik Sinner,Completed,ms016,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms016,s0ag,ki95,6,6,6,,,1,4,2,,,5,s0ag
14-07-2024,N. Djokovic,A. Popyrin,03:05,Round of 32,4 6 6 7,6 3 4 6(3),Novak Djokovic,Completed,ms031,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms031,d643,p09z,4,6,6,7,,6,3,4,6(3),,5,db59
14-07-2024,C. Alcaraz,F. Tiafoe,03:50,Round of 32,5 6 4 7 6,7 2 6 6(2) 2,Carlos Alcaraz,Completed,ms020,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms020,a0e2,td51,5,6,4,7,6,7,2,6,6(2),2,5,a0e2
