match_id,tournament_id,player_1,player_2,p1_id,p2_id,p1_serve_rating,p1_aces,p1_double_faults,p1_first_serve,p1_1st_serve_points_won,p1_2nd_serve_points_won,p1_break_points_saved,p1_service_games_played,p1_return_rating,p1_1st_serve_return_points_won,p1_2nd_serve_return_points_won,p1_break_points_converted,p1_return_games_played,p1_net_points_won,p1_winners,p1_unforced_errors,p1_service_points_won,p1_return_points_won,p1_total_points_won,p1_max_speed,p1_1st_serve_average_speed,p1_2nd_serve_average_speed,p2_serve_rating,p2_aces,p2_double_faults,p2_first_serve,p2_1st_serve_points_won,p2_2nd_serve_points_won,p2_break_points_saved,p2_service_games_played,p2_return_rating,p2_1st_serve_return_points_won,p2_2nd_serve_return_points_won,p2_break_points_converted,p2_return_games_played,p2_net_points_won,p2_winners,p2_unforced_errors,p2_service_points_won,p2_return_points_won,p2_total_points_won,p2_max_speed,p2_1st_serve_average_speed,p2_2nd_serve_average_speed
ms009,339.0,R. Opelka,M. Arnaldi,o522,a0fc,300.0,25.0,6.0,58/86,49/58,13/28,1/2,12.0,113.0,6/40,14/35,1/2,12.0,13/19,42.0,33.0,62/86,20/75,82/161,,,,293.0,8.0,2.0,40/75,34/40,21/35,1/2,12.0,127.0,9/58,15/28,1/2,12.0,6/7,20.0,19.0,55/75,24/86,79/161,,,
ms015,339.0,A. Vukic,G. Dimitrov,v832,d875,260.0,5.0,4.0,44/74,31/44,15/30,8/10,10.0,41.0,2/33,7/20,0/0,10.0,7/10,13.0,25.0,46/74,9/53,55/127,,,,327.0,12.0,1.0,33/53,31/33,13/20,0/0,10.0,120.0,13/44,15/30,2/10,10.0,3/4,25.0,19.0,44/53,28/74,72/127,,,
ms014,339.0,J. ThompsonJ. THOMPSON,A. Michelse...A. MICHELSEN,tc61,m0qi,294.0,3.0,1.0,37/60,28/37,15/23,6/7,10.0,183.0,17/46,10/19,4/7,11.0,13/19,23.0,21.0,43/60,27/65,70/125,,,,246.0,4.0,2.0,46/65,29/46,9/19,3/7,11.0,83.0,9/37,8/23,1/7,10.0,9/22,20.0,25.0,38/65,17/60,55/125,,,
ms012,339.0,B. Bonzi,N. Jarry,bm95,j551,227.0,4.0,2.0,35/51,18/35,9/16,3/7,8.0,175.0,3/30,7/13,1/1,9.0,4/7,13.0,16.0,27/51,10/43,37/94,,,,300.0,10.0,0.0,30/43,27/30,6/13,0/1,9.0,199.0,17/35,7/16,4/7,8.0,3/6,31.0,13.0,33/43,24/51,57/94,,,
ms013,339.0,Y. Nishioka,J. Lehecka,n732,l0bv,259.0,3.0,3.0,75/107,49/75,16/32,8/12,15.0,95.0,6/51,13/30,1/3,15.0,10/14,20.0,24.0,65/107,19/81,84/188,,,,306.0,17.0,3.0,51/81,45/51,17/30,2/3,15.0,145.0,26/75,16/32,4/12,15.0,19/24,51.0,46.0,62/81,42/107,104/188,,,
ms016,339.0,N. Djokovic,R. Hijikata,d643,h0bh,328.0,12.0,0.0,31/47,25/31,12/16,0/0,9.0,187.0,15/37,9/17,3/5,9.0,8/10,26.0,13.0,37/47,24/54,61/101,,,,245.0,7.0,1.0,37/54,22/37,8/17,2/5,9.0,44.0,6/31,4/16,0/0,9.0,3/5,15.0,16.0,30/54,10/47,40/101,,,
ms020,339.0,F. Tiafoe,A. Walton,td51,w09e,302.0,13.0,1.0,46/66,37/46,11/20,3/4,11.0,152.0,8/38,17/28,2/4,10.0,3/6,32.0,14.0,48/66,25/66,73/132,,,,260.0,13.0,4.0,38/66,30/38,11/28,2/4,10.0,99.0,9/46,9/20,1/4,11.0,4/7,30.0,19.0,41/66,18/66,59/132,,,
ms019,339.0,M. Arnaldi,A. Popyrin,a0fc,p09z,287.0,7.0,3.0,24/54,17/24,21/30,2/2,9.0,230.0,10/29,7/12,3/3,8.0,6/10,22.0,13.0,38/54,17/41,55/95,,,,242.0,5.0,2.0,29/41,19/29,5/12,0/3,8.0,59.0,7/24,9/30,0/2,9.0,7/9,19.0,23.0,24/41,16/54,40/95,,,
ms023,339.0,A. Cazaux,D. Lajovic,c0h0,l987,237.0,8.0,6.0,46/81,33/46,13/35,7/10,10.0,80.0,14/41,5/20,1/9,10.0,5/6,21.0,42.0,46/81,19/61,65/142,,,,298.0,1.0,1.0,41/61,27/41,15/20,8/9,10.0,151.0,13/46,22/35,3/10,10.0,3/5,16.0,25.0,42/61,35/81,77/142,,,
ms022,339.0,J. MensikJ. MENSIK,M. Kukushki...M. KUKUSHKIN,m0ni,k926,294.0,13.0,2.0,42/68,33/42,15/26,1/2,11.0,146.0,17/47,12/29,2/4,11.0,5/6,32.0,43.0,48/68,29/76,77/144,,,,266.0,2.0,3.0,47/76,30/47,17/29,2/4,11.0,123.0,9/42,11/26,1/2,11.0,2/5,10.0,21.0,47/76,20/68,67/144,,,
